Price,Title,Location,Bedrooms,Bathrooms,Area,Link,Type,Rental Frequency,Furnished,Ownership,Near Sea
25000.0,Apartment for rent 171m Smouha (Valori Transport and Engineering),Smoha,3,2,171.0,https://www.dubizzle.com.eg/en/ad/apartment-for-rent-171m-smouha-valori-transport-and-engineering-ID501951589.html,Apartment,Monthly,No,Not specified,False
5460000.0,168m apartment with immediate delivery in the best location in Smouha at a special price with installments,"Valore Antoniades, Smoha•",3,3,168.0,https://www.dubizzle.com.eg/en/ad/168m-apartment-with-immediate-delivery-in-the-best-location-in-smouha-at-a-special-price-with-installments-ID501938027.html,Apartment,Sale,No,Primary,False
23000.0,"Apartment for rent, 155m, Smouha (Grand View)","Grand View, Smoha•",3,2,155.0,https://www.dubizzle.com.eg/en/ad/apartment-for-rent-155m-smouha-grand-view-ID501955086.html,Apartment,Monthly,No,Not specified,False
5750000.0,"Apartment for sale, 153 m, Alex West Compound (full open landscape view)","Alex West, Agami•",3,2,153.0,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-153-m-alex-west-compound-full-open-landscape-view-ID501925083.html,Apartment,Sale,Not specified,Primary,False
2700000.0,"Apartment for sale, 150m, Gianaclis (Al-Mursaleen Al-Amerikan Street)",Laurent,3,2,150.0,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-150m-gianaclis-al-mursaleen-al-amerikan-street-ID501866542.html,Apartment,Sale,No,Resale,False
5606000.0,"Apartment for sale, 133 m² (Sawary)","Sawari, Moharam Bik•",2,2,133.0,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-133-m2-sawary-ID501919396.html,Apartment,Sale,No,Resale,False
20000.0,"Apartment for rent, 155 m², open view, fully finished, furnished",Montazah,3,2,155.0,https://www.dubizzle.com.eg/en/ad/apartment-for-rent-155-m2-open-view-fully-finished-furnished-ID501938088.html,Apartment,Monthly,Yes,Not specified,False
20000.0,"Apartment for rent, 171 m², Smouha (Valori, Transport and Engineering)",Smoha,3,3,171.0,https://www.dubizzle.com.eg/en/ad/apartment-for-rent-171-m2-smouha-valori-transport-and-engineering-ID501947464.html,Apartment,Monthly,No,Not specified,False
6550000.0,شقة للبيع 180 م /  سموحة  كومباوند سيتى  انطونيادس,Smoha,3,2,180.0,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-180-%D9%85-%D8%B3%D9%85%D9%88%D8%AD%D8%A9-%D9%83%D9%88%D9%85%D8%A8%D8%A7%D9%88%D9%86%D8%AF-%D8%B3%D9%8A%D8%AA%D9%89-%D8%A7%D9%86%D8%B7%D9%88%D9%86%D9%8A%D8%A7%D8%AF%D8%B3-ID501712769.html,Apartment,Sale,No,Resale,False
3750000.0,شقة بأجمل موقع بالمعموره ع البحر بالفرش,Maamoura,1,1,75.0,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%82%D8%A9-%D8%A8%D8%A3%D8%AC%D9%85%D9%84-%D9%85%D9%88%D9%82%D8%B9-%D8%A8%D8%A7%D9%84%D9%85%D8%B9%D9%85%D9%88%D8%B1%D9%87-%D8%B9-%D8%A7%D9%84%D8%A8%D8%AD%D8%B1-%D8%A8%D8%A7%D9%84%D9%81%D8%B1%D8%B4-ID202163126.html,Apartment,Sale,No,Resale,True
